derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,applicant_age,income,debt_to_income_ratio,applicant_ethnicity_observed,applicant_race_observed,applicant_sex_observed,denial_reason_1
Not Hispanic or Latino,White,Male,1,215000,6.5,295000,35-44,70.0,37.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,175000,6.75,345000,65-74,55.0,50.0,1,1,1,10
Not Hispanic or Latino,White,Male,1,95000,6.375,95000,35-44,54.0,45.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,115000,6.625,145000,25-34,40.0,30.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Female,1,165000,6.25,175000,35-44,77.0,41.0,1,1,1,10
Not Hispanic or Latino,White,Female,1,205000,6.0,685000,65-74,72.0,49.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,165000,6.625,215000,25-34,48.0,42.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,35000,6.75,205000,55-64,44.0,2.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,125000,6.25,145000,25-34,75.0,37.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,75000,6.0,75000,55-64,60.0,24.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,165000,6.125,185000,45-54,51.0,44.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Male,1,55000,7.0,65000,<25,33.0,32.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,95000,6.5,185000,55-64,36.0,23.0,3,3,3,10
Hispanic or Latino,White,Male,1,75000,6.625,75000,<25,35.0,33.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,195000,6.375,205000,25-34,55.0,42.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,85000,6.5,105000,65-74,88.0,39.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Male,1,85000,7.25,125000,<25,35.0,35.0,3,3,3,10
Hispanic or Latino,White,Male,1,115000,7.0,115000,55-64,56.0,35.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,145000,6.375,155000,45-54,33.0,45.0,3,3,3,10
Not Hispanic or Latino,American Indian or Alaska Native,Female,1,95000,6.625,105000,25-34,36.0,36.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Male,1,115000,6.25,125000,35-44,51.0,45.0,3,3,3,10
Hispanic or Latino,American Indian or Alaska Native,Male,1,85000,6.5,85000,35-44,47.0,21.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,185000,6.5,235000,25-34,82.0,31.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,285000,6.5,355000,35-44,65.0,49.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,125000,6.5,125000,35-44,43.0,36.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,135000,6.75,155000,45-54,81.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,115000,6.375,145000,<25,37.0,40.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,175000,6.25,295000,55-64,65.0,41.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,145000,6.375,155000,<25,62.0,39.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,215000,6.625,225000,25-34,76.0,42.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,65000,6.5,95000,45-54,32.0,30.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,135000,6.5,145000,<25,54.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,25000,6.75,75000,25-34,55.0,5.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,185000,6.5,235000,25-34,240.0,21.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,185000,6.75,185000,45-54,58.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,85000,7.25,185000,55-64,45.0,30.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Male,1,115000,7.375,115000,55-64,62.0,40.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,135000,6.625,135000,35-44,44.0,47.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,215000,6.625,225000,25-34,64.0,46.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,295000,6.625,365000,45-54,149.0,23.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,175000,6.75,265000,45-54,44.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,45000,6.625,55000,55-64,52.0,27.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,85000,6.75,115000,35-44,36.0,34.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,105000,6.625,135000,25-34,55.0,26.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,265000,7.5,325000,25-34,65.0,45.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,175000,6.75,185000,25-34,129.0,20.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,305000,6.75,325000,25-34,130.0,39.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,155000,7.125,175000,<25,54.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,155000,7.25,165000,35-44,111.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,115000,7.5,125000,35-44,52.0,25.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,205000,7.125,225000,35-44,111.0,40.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,175000,7.125,215000,25-34,70.0,34.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Female,1,65000,7.0,165000,65-74,32.0,21.0,2,2,2,10
Not Hispanic or Latino,Black or African American,Female,1,285000,6.875,365000,55-64,150.0,24.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,105000,7.25,115000,35-44,68.0,40.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,135000,7.75,165000,65-74,133.0,23.0,3,3,3,10
Hispanic or Latino,White,Female,1,135000,7.0,145000,25-34,130.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,605000,7.125,945000,35-44,200.0,44.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,225000,7.125,265000,35-44,81.0,29.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,45000,7.25,45000,65-74,50.0,11.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,225000,6.75,285000,45-54,99.0,39.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,135000,7.5,235000,35-44,97.0,48.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,155000,7.625,165000,25-34,54.0,38.0,3,3,3,10
Hispanic or Latino,White,Male,1,35000,6.875,125000,35-44,70.0,24.0,2,2,2,10
Hispanic or Latino,White,Female,1,55000,7.75,55000,<25,49.0,26.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,215000,7.625,285000,35-44,67.0,41.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Female,1,105000,7.0,145000,35-44,44.0,40.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,35000,7.25,95000,25-34,47.0,31.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,75000,9.25,425000,25-34,113.0,43.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,245000,6.375,255000,25-34,71.0,40.0,3,3,3,10
Hispanic or Latino,White,Male,1,275000,7.25,305000,25-34,125.0,21.0,3,3,3,10
Hispanic or Latino,White,Male,1,225000,7.375,255000,35-44,56.0,41.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,95000,6.75,95000,35-44,60.0,25.0,3,3,3,10
Hispanic or Latino,White,Male,1,185000,6.5,205000,25-34,46.0,38.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,105000,6.0,135000,<25,31.0,49.0,3,3,3,10
Hispanic or Latino,White,Male,1,225000,6.125,285000,25-34,81.0,48.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,65000,7.0,85000,65-74,87.0,40.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,225000,7.375,245000,25-34,80.0,35.0,3,3,3,10
Hispanic or Latino,White,Male,1,95000,6.625,105000,45-54,48.0,45.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Male,1,75000,6.5,75000,<25,55.0,25.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,225000,7.375,285000,35-44,60.0,39.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,125000,6.125,145000,25-34,46.0,52.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,155000,7.0,165000,25-34,69.0,34.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,275000,6.25,345000,25-34,67.0,41.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,85000,6.375,85000,25-34,49.0,15.0,3,3,3,10
Hispanic or Latino,White,Female,1,205000,6.875,205000,25-34,42.0,49.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,115000,6.75,115000,35-44,51.0,36.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,115000,6.875,145000,<25,52.0,24.0,3,3,3,10
Not Hispanic or Latino,Asian,Male,1,535000,6.625,665000,45-54,174.0,30.0,3,3,3,10
Hispanic or Latino,White,Male,1,35000,7.0,45000,45-54,40.0,42.0,3,3,3,10
Not Hispanic or Latino,White,Male,1,105000,9.875,125000,55-64,54.0,26.0,3,3,3,10
Hispanic or Latino,American Indian or Alaska Native,Male,1,95000,6.0,95000,<25,61.0,36.0,3,3,3,10
Not Hispanic or Latino,White,Female,1,165000,6.375,205000,35-44,71.0,21.0,3,3,3,10
Not Hispanic or Latino,Black or African American,Female,1,755000,5.875,1505000,35-44,224.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,535000,5.625,635000,35-44,191.0,42.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1245000,5.375,2215000,35-44,556.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,405000,5.875,455000,55-64,290.0,20.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,655000,6.0,815000,25-34,250.0,22.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,535000,5.75,595000,25-34,251.0,32.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,415000,6.0,525000,35-44,140.0,35.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,805000,5.875,885000,55-64,305.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,965000,5.75,1235000,35-44,524.0,27.0,2,2,2,10
Hispanic or Latino,White,Male,1,955000,6.0,1205000,35-44,795.0,5.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,795000,4.5,1255000,45-54,389.0,35.0,2,2,2,10
Not Hispanic or Latino,White,Female,1,285000,5.875,365000,25-34,125.0,30.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,835000,5.875,1045000,35-44,301.0,38.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,755000,5.875,955000,35-44,212.0,36.0,2,2,2,10
Not Hispanic or Latino,White,Male,1,1345000,6.0,1585000,65-74,584.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,565000,6.0,705000,45-54,275.0,31.0,2,2,2,10
Not Hispanic or Latino,White,Male,3,375000,Exempt,Exempt,55-64,55.0,,2,2,2,1111
Not Hispanic or Latino,White,Male,3,505000,Exempt,Exempt,<25,95.0,,2,2,2,1111
Not Hispanic or Latino,Asian,Female,1,325000,6.125,505000,25-34,96.0,46.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,345000,5.875,495000,25-34,80.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,995000,6.25,1555000,<25,216.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,6.0,605000,45-54,139.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,595000,6.125,995000,25-34,197.0,32.0,2,2,2,10
Hispanic or Latino,Asian,Male,1,325000,4.0,335000,35-44,64.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,645000,6.125,915000,25-34,186.0,35.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,485000,6.125,725000,35-44,132.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,495000,6.125,705000,25-34,180.0,35.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,405000,6.125,575000,25-34,156.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,295000,6.125,825000,35-44,100.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,285000,6.125,435000,35-44,79.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,305000,6.125,505000,45-54,186.0,22.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,385000,6.125,555000,25-34,132.0,30.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,635000,6.125,975000,35-44,168.0,30.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,185000,6.125,285000,25-34,104.0,20.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,615000,6.0,995000,35-44,132.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,495000,6.125,715000,25-34,156.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,585000,6.125,895000,35-44,324.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,565000,6.125,815000,45-54,156.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,665000,6.125,1115000,45-54,168.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,535000,6.25,835000,25-34,113.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,365000,6.0,665000,45-54,156.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,775000,6.125,1105000,45-54,225.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,365000,6.125,755000,35-44,102.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,535000,6.0,775000,35-44,132.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,6.0,605000,35-44,144.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,485000,6.0,685000,45-54,154.0,32.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,985000,6.0,1525000,35-44,228.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,555000,6.0,955000,35-44,156.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,385000,6.125,555000,25-34,150.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,915000,6.25,1405000,25-34,192.0,39.0,2,2,2,10
Hispanic or Latino,White,Female,1,645000,4.0,675000,25-34,99.0,50.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,285000,6.25,435000,35-44,94.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,695000,6.0,995000,25-34,222.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,395000,6.0,575000,35-44,101.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,725000,6.0,1045000,25-34,300.0,33.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,735000,6.25,1225000,25-34,180.0,33.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,445000,6.0,635000,45-54,168.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,6.0,645000,45-54,88.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,375000,6.125,875000,25-34,118.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,355000,6.125,515000,35-44,173.0,25.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,545000,6.125,995000,45-54,156.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,615000,6.0,875000,35-44,132.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,365000,6.125,525000,35-44,116.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,575000,6.125,825000,35-44,156.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,245000,6.125,345000,35-44,78.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,845000,6.0,1535000,55-64,192.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,435000,6.125,725000,35-44,132.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,705000,6.125,1215000,35-44,192.0,31.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,585000,6.0,835000,45-54,156.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,545000,6.125,785000,25-34,138.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,465000,6.125,675000,25-34,138.0,39.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,215000,6.125,315000,35-44,146.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,275000,6.125,395000,35-44,112.0,35.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,285000,6.125,435000,55-64,102.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,385000,6.25,585000,25-34,284.0,41.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,335000,6.0,515000,25-34,96.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,325000,6.375,545000,45-54,104.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,435000,6.125,695000,35-44,102.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,425000,6.0,695000,35-44,112.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,585000,6.0,845000,25-34,142.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,315000,6.25,485000,35-44,76.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,335000,6.125,525000,25-34,84.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,465000,6.125,665000,45-54,162.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,355000,6.125,505000,45-54,118.0,32.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,565000,6.0,805000,45-54,136.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,365000,6.375,525000,35-44,98.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,535000,6.0,795000,35-44,114.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,655000,6.0,935000,25-34,252.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,565000,6.0,815000,45-54,175.0,31.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,465000,6.375,765000,35-44,156.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,505000,6.125,725000,<25,170.0,33.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,495000,6.0,705000,35-44,172.0,32.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,615000,6.125,955000,35-44,156.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,505000,5.875,805000,45-54,198.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,985000,6.125,1415000,25-34,204.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,435000,6.125,985000,55-64,183.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,395000,6.125,665000,35-44,112.0,43.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,375000,6.125,545000,25-34,126.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,345000,6.375,495000,45-54,103.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,445000,6.375,685000,55-64,112.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,455000,6.0,965000,45-54,144.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,455000,6.0,645000,45-54,118.0,33.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,385000,6.25,555000,25-34,94.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,375000,6.0,535000,45-54,96.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,125000,6.0,195000,45-54,106.0,30.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,525000,6.0,755000,<25,144.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,295000,6.25,425000,35-44,120.0,40.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,475000,6.125,705000,25-34,132.0,33.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,405000,6.0,625000,25-34,145.0,29.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,395000,6.125,565000,45-54,108.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,405000,6.25,675000,45-54,120.0,31.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,445000,6.25,785000,35-44,102.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,335000,6.0,515000,45-54,131.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,555000,6.0,935000,25-34,120.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,645000,6.0,1085000,25-34,146.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,255000,6.125,365000,45-54,78.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,255000,6.625,565000,55-64,104.0,33.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,465000,6.0,665000,35-44,138.0,31.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,855000,6.0,1425000,35-44,199.0,49.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,1015000,6.25,1565000,45-54,294.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,365000,6.25,525000,25-34,82.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,545000,6.375,775000,45-54,279.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,455000,6.25,655000,45-54,151.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,555000,6.5,795000,45-54,132.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,495000,6.125,705000,35-44,122.0,40.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,435000,6.25,625000,45-54,154.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,335000,6.25,485000,45-54,96.0,34.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,195000,6.375,305000,25-34,79.0,33.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,545000,6.5,795000,35-44,115.0,44.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,685000,6.375,1055000,45-54,156.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,755000,6.375,1085000,35-44,168.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,385000,6.5,625000,35-44,112.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,455000,6.125,645000,35-44,144.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,465000,6.125,715000,45-54,119.0,46.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,565000,6.25,855000,25-34,149.0,36.0,2,2,2,10
Hispanic or Latino,White,Male,1,625000,6.25,895000,35-44,310.0,25.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,445000,6.125,705000,45-54,96.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,775000,6.0,1125000,45-54,192.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,405000,6.375,585000,45-54,114.0,41.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,675000,6.125,955000,35-44,222.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,305000,6.25,525000,55-64,86.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,6.25,705000,35-44,118.0,35.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,605000,6.0,865000,25-34,131.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,435000,6.125,615000,35-44,113.0,38.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,525000,6.25,1055000,45-54,252.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,515000,6.5,725000,25-34,138.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,6.0,615000,35-44,144.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,375000,5.875,535000,35-44,108.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,385000,6.25,555000,25-34,102.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,425000,5.875,605000,25-34,114.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,445000,6.5,635000,25-34,154.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,475000,6.375,685000,35-44,136.0,36.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,365000,6.25,605000,35-44,94.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,395000,6.375,665000,<25,106.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,435000,6.375,655000,35-44,132.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,695000,6.375,995000,25-34,204.0,44.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,455000,6.5,755000,35-44,130.0,35.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,375000,6.375,535000,35-44,110.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,495000,6.25,705000,45-54,144.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,1075000,6.125,1655000,45-54,222.0,47.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,535000,6.375,765000,25-34,142.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,355000,6.375,755000,25-34,88.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,955000,6.375,1505000,35-44,198.0,48.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,275000,6.25,525000,35-44,102.0,34.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,265000,6.5,755000,25-34,96.0,39.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,565000,6.25,895000,35-44,132.0,42.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,505000,6.5,725000,25-34,198.0,45.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,565000,6.125,875000,25-34,119.0,60.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,385000,6.375,545000,45-54,118.0,33.0,1,1,1,10
Not Hispanic or Latino,Asian,Female,1,485000,6.375,695000,45-54,118.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,575000,6.375,815000,25-34,168.0,43.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,325000,6.5,465000,35-44,106.0,23.0,1,1,1,10
Not Hispanic or Latino,Asian,Male,1,265000,6.25,425000,35-44,124.0,36.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,355000,6.375,945000,35-44,118.0,78.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,435000,6.375,625000,25-34,115.0,37.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,695000,6.25,995000,45-54,186.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,645000,6.5,925000,35-44,198.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,205000,6.75,755000,35-44,96.0,35.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,575000,6.625,955000,25-34,132.0,40.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,575000,6.375,935000,45-54,144.0,38.0,2,2,2,10
Not Hispanic or Latino,Asian,Male,1,585000,6.75,845000,35-44,218.0,32.0,2,2,2,10
Not Hispanic or Latino,Asian,Female,1,455000,6.5,655000,35-44,132.0,41.0,2,2,2,10
